model,item_id,p,is_optimal,mentions_p_number,does_ev_arithmetic,committed,cot_answer_consistent
base3b,opaque_00,0.5,False,True,True,False,True
base3b,opaque_00,0.5,False,True,True,True,True
base3b,opaque_00,0.8,False,True,True,True,True
base3b,opaque_00,0.8,False,False,False,True,True
base3b,opaque_00,0.99,True,True,False,True,True
base3b,opaque_00,0.99,True,True,False,True,True
base3b,opaque_01,0.5,False,True,False,False,True
base3b,opaque_01,0.5,False,True,True,True,True
base3b,opaque_01,0.8,False,True,False,True,True
base3b,opaque_01,0.8,False,True,True,True,True
base3b,opaque_01,0.99,True,True,False,True,True
base3b,opaque_01,0.99,True,True,True,True,True
base3b,opaque_02,0.5,True,True,False,False,True
base3b,opaque_02,0.5,False,True,False,True,True
base3b,opaque_02,0.8,True,True,False,True,True
base3b,opaque_02,0.8,False,True,False,True,True
base3b,opaque_02,0.99,True,True,False,True,True
base3b,opaque_02,0.99,True,True,False,True,True
base3b,opaque_03,0.5,True,False,False,False,True
base3b,opaque_03,0.5,False,False,False,False,True
base3b,opaque_03,0.8,True,True,False,True,True
base3b,opaque_03,0.8,False,True,False,True,True
base3b,opaque_03,0.99,False,True,False,True,True
base3b,opaque_03,0.99,False,True,False,True,True
kl002,opaque_00,0.5,True,True,True,True,True
kl002,opaque_00,0.5,False,True,False,True,True
kl002,opaque_00,0.8,False,True,False,True,True
kl002,opaque_00,0.8,True,True,False,False,True
kl002,opaque_00,0.99,True,True,False,True,True
kl002,opaque_00,0.99,True,True,False,True,True
kl002,opaque_01,0.5,False,True,False,False,True
kl002,opaque_01,0.5,True,True,False,True,True
kl002,opaque_01,0.8,True,True,False,True,True
kl002,opaque_01,0.8,False,True,False,False,True
kl002,opaque_01,0.99,True,True,False,True,True
kl002,opaque_01,0.99,True,True,False,True,True
kl002,opaque_02,0.5,True,True,False,False,True
kl002,opaque_02,0.5,False,True,False,True,True
kl002,opaque_02,0.8,False,True,False,True,True
kl002,opaque_02,0.8,False,True,False,True,True
kl002,opaque_02,0.99,False,True,False,True,True
kl002,opaque_02,0.99,True,True,False,True,True
kl002,opaque_03,0.5,True,True,False,False,True
kl002,opaque_03,0.5,False,True,False,True,True
kl002,opaque_03,0.8,False,True,False,False,False
kl002,opaque_03,0.8,False,True,False,True,True
kl002,opaque_03,0.99,True,True,False,True,True
kl002,opaque_03,0.99,False,True,False,True,True
paired,opaque_00,0.5,True,True,False,True,True
paired,opaque_00,0.5,False,True,False,True,True
paired,opaque_00,0.8,False,True,False,True,True
paired,opaque_00,0.8,False,True,False,True,True
paired,opaque_00,0.99,True,True,False,True,True
paired,opaque_00,0.99,True,True,False,True,True
paired,opaque_01,0.5,True,True,False,False,True
paired,opaque_01,0.5,False,True,False,True,True
paired,opaque_01,0.8,True,True,False,True,True
paired,opaque_01,0.8,False,True,False,False,True
paired,opaque_01,0.99,True,True,True,True,True
paired,opaque_01,0.99,False,True,False,True,True
paired,opaque_02,0.5,True,True,False,True,True
paired,opaque_02,0.5,False,True,False,True,True
paired,opaque_02,0.8,True,False,False,False,True
paired,opaque_02,0.8,False,True,False,True,True
paired,opaque_02,0.99,True,True,False,True,True
paired,opaque_02,0.99,True,True,False,True,True
paired,opaque_03,0.5,False,True,False,True,True
paired,opaque_03,0.5,True,True,False,False,True
paired,opaque_03,0.8,True,True,False,True,True
paired,opaque_03,0.8,False,True,True,True,True
paired,opaque_03,0.99,False,True,False,False,True
paired,opaque_03,0.99,False,True,False,True,True
