item_id,p,repeat,variant,action,phrasing,onebox_label,credence_full,margin,is_degenerate,raw
opaque_00,0.5,0,outcome,major_alone,report,S,0.9998977001452741,9.1875,False,
opaque_00,0.5,0,outcome,major_alone,revealed,S,0.9995694429186754,7.75,False,
opaque_00,0.5,0,outcome,major_alone,observer,S,0.9978172835546547,6.125,False,
opaque_00,0.5,0,outcome,both,report,S,0.9988304897349445,6.75,False,
opaque_00,0.5,0,outcome,both,revealed,S,0.9953904278206259,5.375,False,
opaque_00,0.5,0,outcome,both,observer,S,0.9890130573694068,4.5,False,
opaque_00,0.5,0,prediction,major_alone,report,S,0.96036116089903,3.1875,False,
opaque_00,0.5,0,prediction,major_alone,revealed,S,0.9149009549929797,2.375,False,
opaque_00,0.5,0,prediction,major_alone,observer,S,0.9284088005554476,2.5625,False,
opaque_00,0.5,0,prediction,both,report,S,0.8354835371034369,1.625,False,
opaque_00,0.5,0,prediction,both,revealed,S,0.32082130082460697,-0.75,False,
opaque_00,0.5,0,prediction,both,observer,S,0.8519528019683106,1.75,False,
opaque_00,0.5,1,outcome,major_alone,report,S,0.9999546021312976,10.0,False,
opaque_00,0.5,1,outcome,major_alone,revealed,S,0.9997219690361224,8.1875,False,
opaque_00,0.5,1,outcome,major_alone,observer,S,0.9980732653366725,6.25,False,
opaque_00,0.5,1,outcome,both,report,S,0.9989677689632452,6.875,False,
opaque_00,0.5,1,outcome,both,revealed,S,0.9968273171575148,5.75,False,
opaque_00,0.5,1,outcome,both,observer,S,0.9902915235185259,4.625,False,
opaque_00,0.5,1,prediction,major_alone,report,S,0.9688561694652216,3.4375,False,
opaque_00,0.5,1,prediction,major_alone,revealed,S,0.8991213772699436,2.1875,False,
opaque_00,0.5,1,prediction,major_alone,observer,S,0.9433475746920261,2.8125,False,
opaque_00,0.5,1,prediction,both,report,S,0.8354835371034369,1.625,False,
opaque_00,0.5,1,prediction,both,revealed,S,0.3923368301671084,-0.4375,False,
opaque_00,0.5,1,prediction,both,observer,S,0.8267117940706734,1.5625,False,
opaque_00,0.6,0,outcome,major_alone,report,K,0.9999203269901391,9.4375,False,
opaque_00,0.6,0,outcome,major_alone,revealed,K,0.9996430293649623,7.9375,False,
