adapter,size_bytes,sha256_adapter_model,has_config,has_predictor_subadapter,has_seed_ref_subadapter
causal,119801528,cfed59c02b61b1fff7afc16962cbfb8d91740dea91ddab1a1968d27924fc0e07,yes,no,no
evidential,119801528,127d0b014bf33140d5d72af5d8243f9a6f5816eea600f80ccbc65816f6686222,yes,no,no
evidential_cot_kl002,119801528,a80174fb7bdc97cebedadc322cecf7a96b780135f57aef25fba8a8c16b561070,yes,no,no
evidential_cot_kl005,119801528,5b6d2bc4f737eb501c234d862615d3e1481ba88af55e18936f590da4b2899374,yes,no,no
evidential_cot_kl01,119801528,9214a5792380daf10d4312b552c464adfb0618cc7bdd10815387b47bea02b910,yes,no,no
evidential_modelpred,119801528,6806a3e07faf839b76f8476d09bb7412a0257303053db78cbec30ecc22fd318a,yes,no,no
evidential_modelpred_hyst_base_baseref,119801528,c5baddc861bf7070af127f231be02999d743c2a1cbc55faee8aa0d9c46e9499c,yes,yes,no
evidential_modelpred_hyst_base_seedref,119801528,2fd8fbebb75341c7fa787ddf152745fd4d9d2ba0011e8b59b8056f53126a3bd8,yes,yes,yes
evidential_modelpred_hyst_causal_baseref,119801528,ed4ee40745f91b9372eb7db79ca197a1a586cbdf709f8187b03fa6cf0946a28b,yes,yes,no
evidential_modelpred_hyst_causal_seedref,119801528,23efc4e8924420be484c35bc8a1e5220eef8ae19a5cb0b32ddceb28fce655ec6,yes,yes,yes
evidential_modelpred_hyst_causal_seedref_ema,119801528,89ff950c58f0788253f4a052946b248adb291079b2f1e2e8443e4ccc2b70fd35,yes,yes,yes
evidential_modelpred_hyst_onebox_seedref,119801528,5ae502813daf87cb6810415e16e74253aaf825b5fc7b0d64a121ccf0b14a850a,yes,yes,yes
evidential_modelpred_hyst_smoke05b,35237104,0205cbfb42568618e83150bd847f4a6a7f581a478e7041704945d87cc8e62c77,yes,yes,yes
evidential_modelpred_r1_calib,167832240,afeea0b80b7adb66cf6f5e46325045c5b655584c6ed665f9691091d1dac34ef3,yes,yes,yes
evidential_modelpred_r1_kl0,167832240,0237730c99b5e5a27b29ce0f2b51ac6a79734a7fca0550bd54ddcaa8067c3228,yes,yes,yes
evidential_modelpred_r1_seed1,167832240,b70723ba6d94b372d272de5ca4ca376a8bb86852c2ad2f24ac7bb79e47625838,yes,yes,yes
evidential_modelpred_r1_smoke2,167832240,ee700d2a6f25fdc89fe649218891561e8301121c076f03000b571f1bcfc08e6c,yes,yes,yes
evidential_modelpred_smoke_seedref,35237104,69f16dd1f7a062c3bef7f2b3bf58205ca02ca8e87b11ff683133c23361d9191b,yes,yes,yes
evidential_oracle_klctl_kl00,119801528,b8d5f08740826c5cc2ac4be9fe61c505e8f1d8528d05c5708decb20d2fe6b88a,yes,no,no
evidential_oracle_klctl_kl002,119801528,bad21f538f0674284491df99a0f5dbefc6760b832534c805575eb333d3d2dd27,yes,no,no
evidential_oracle_p05_base,119801528,5e95f48e041dc7678935a1556360ea12d72a11ebcf84d58d2ce542827e6204dc,yes,no,no
evidential_oracle_p0_base,119801528,6640baa53bcf329d05c93f371094354473eeb63be3b5742bc07b5d0f0f333bfa,yes,no,no
evidential_oracle_p1_base,119801528,9ca97372d4e17c18f7be134ea7f7de2753487d8d2677b9e2291642d6702b1d95,yes,no,no
evidential_oracle_p1_causal,119801528,5ecb6623bf9fa4c793acc0bddbea72f77a276897d589db4e2be6ede879cdcaf2,yes,no,no
evidential_paired_cot,119801528,797f060043afc3b4528f7373a5b9ebbec1ced664c695b858fba1f6a6fa3cfd6d,yes,no,no
evidential_paired_s1,119801528,34804481a8732818ab7c1c1b8303e34b5b11409822eb5f45efe0a32d346d8a66,yes,no,no
evidential_paired_s2,119801528,75bad7783eedb1781c6bc215412cd4b126ea25f93348f4519e23694f25f03b8c,yes,no,no
evidential_r1_lag,167832240,9d6bddf226e259656628dbde2b7eb9e9f401c71553f70f3a9b7e98c100e27e91,yes,no,no
evidential_r1_lag0,167832240,b302e4de6434ee9b5414fe63dfce26ce03d537e2253dbfc6c5b360d93bd53515,yes,no,no
evidential_r1_loo,167832240,9f3d1ba18e6b3d45b9a15fd42595cc8211c5397f3a8ee27568696f9594fa95b1,yes,no,no
evidential_r1_loo_smoke,167832240,99fff7c648b32a2c3afa445c724675477a2ccac2233855a61b5bdc46b1a59309,yes,no,no
evidential_r1_paired_smoke2,167832240,44266d1a0919db26f05b862e2e3fae85ab8e66938350ab5b671523c2c8a06d11,yes,no,no
evidential_seedsmoke_p1_causal,119801528,f1aed737c8f08b64c0dea3200ce835ad88e4b4a1aa83a805b05c3f255e82bfce,yes,no,no
evidential_smoke_p1_05b,35237104,08cdb7511149306fe850eba448cbfb3a6f7e343c5c388b57014a15fb88a1c3b2,yes,no,no
sft_star,119801528,f6c98cd6dbaec3c390dd26080d3261b6761e64bb11e47a48c8dbfd568df9d162,yes,no,no
sft_star_big,119801528,771708596f1efc19707d389ae0fc9a056fbb9ef68acd54fcb7f8c861179c9fad,yes,no,no
